step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
0,0,1.33078807e-11,15.69524196,-8.136602503e-12,0,15.69524196,0,1.330791033e-11
1,0.01,5.136173409e-06,31.18939435,-2.655709787e-06,28.53353905,2.655855296,4.364156383e-06,7.720170259e-07
2,0.02,1.043354618e-05,27.22841708,-2.309679951e-06,25.843696,1.384721086,9.689626713e-06,7.439194656e-07
3,0.03,2.233062443e-05,24.26410267,-1.720208966e-06,22.89314479,1.370957878,2.149764988e-05,8.329745493e-07
4,0.04,3.373687296e-05,21.46867356,-1.302979182e-06,20.11856767,1.350105888,3.271104204e-05,1.025830913e-06
5,0.05,2.470852542e-05,18.79487093,-1.046637048e-06,17.48282717,1.312043758,2.368206365e-05,1.026461769e-06
6,0.06,-2.572359434e-05,16.30101131,-9.403941132e-07,15.03161848,1.269392831,-2.611879765e-05,3.952033167e-07
7,0.07,-0.0001125501656,14.00882333,-9.343295426e-07,12.78464438,1.224178951,-0.0001114894812,-1.060684409e-06
8,0.08,-0.0001893794335,11.92737757,-9.231140008e-07,10.75024192,1.177135642,-0.0001864865663,-2.892867204e-06
9,0.09,-0.0001938538171,10.05768103,-8.062487128e-07,8.928676228,1.129004799,-0.0001897381216,-4.11569557e-06
10,0.1,-0.0001019153028,8.394489481,-5.695212874e-07,7.314000036,1.080489445,-9.801835586e-05,-3.896946924e-06
11,0.11,4.405269183e-05,6.928213119,-2.950585546e-07,5.895960213,1.032252906,4.627738324e-05,-2.224691407e-06
12,0.12,0.0001681601303,5.647004701,-8.446398886e-08,4.661999719,0.985004982,0.0001680546078,1.055224987e-07
13,0.13,0.0002145774458,4.538099523,8.317315559e-09,3.59897152,0.9391280032,0.0002125086205,2.068825304e-06
14,0.14,0.0001594234879,3.588218115,-3.118475334e-08,2.693085231,0.8951328844,0.0001566345696,2.7889183e-06
15,0.15,-1.364836223e-05,2.784268143,-2.086473036e-07,1.931054646,0.8532134966,-1.513432705e-05,1.485964816e-06
16,0.16,-0.0003094990441,2.112989455,-5.128849297e-07,1.29934441,0.8136450447,-0.0003070080618,-2.490982258e-06
17,0.17,-0.0006692952567,1.561090741,-8.692008547e-07,0.7844744227,0.7766163179,-0.0006602765005,-9.018756188e-06
18,0.18,-0.000937134527,1.115173261,-1.128211949e-06,0.3730801029,0.7420931583,-0.0009206846946,-1.64498324e-05
19,0.19,-0.0009197388833,0.7617717725,-1.139182617e-06,0.0516283325,0.71014344,-0.0008980626075,-2.167627581e-05
20,0.2,-0.0005199244473,0.4879947639,-8.451219463e-07,-0.1927074001,0.680702164,-0.0004983273871,-2.159706026e-05
21,0.21,0.0001609499103,0.2819246132,-3.337928541e-07,-0.3717445479,0.6536691611,0.0001759997097,-1.504979941e-05
22,0.22,0.0008442397684,0.1330198847,2.016627128e-07,-0.4959068867,0.6289267715,0.0008481311133,-3.891344825e-06
23,0.23,0.001217221561,0.0322783381,5.628056483e-07,-0.5741342515,0.6064125896,0.001209601998,7.619563322e-06
24,0.24,0.001107038784,-0.02783213812,6.359323438e-07,-0.6137481734,0.5859160353,0.001092069506,1.496927766e-05
