step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.00000000,-0.00000000,0.00119210,-0.00000004,0.00115027,0.00004183,0.00000002,-0.00000003
2,0.00000000,-0.00000001,0.00240699,-0.00000011,0.00228781,0.00011918,0.00000005,-0.00000006
3,0.00000000,-0.00000002,0.00365386,-0.00000020,0.00342527,0.00022859,0.00000008,-0.00000010
4,0.00000000,-0.00000003,0.00494179,-0.00000028,0.00457596,0.00036583,0.00000009,-0.00000013
5,0.00000000,-0.00000005,0.00627043,-0.00000038,0.00574135,0.00052907,0.00000011,-0.00000016
6,0.00000000,-0.00000007,0.00764158,-0.00000050,0.00692536,0.00071621,0.00000012,-0.00000019
7,0.00000000,-0.00000009,0.00905610,-0.00000063,0.00813064,0.00092546,0.00000014,-0.00000023
8,0.00000000,-0.00000012,0.01051429,-0.00000079,0.00935896,0.00115533,0.00000016,-0.00000028
9,0.00000000,-0.00000016,0.01201612,-0.00000098,0.01061155,0.00140457,0.00000018,-0.00000034
10,0.00000000,-0.00000021,0.01356140,-0.00000120,0.01188925,0.00167215,0.00000020,-0.00000041
11,0.00000000,-0.00000026,0.01514986,-0.00000145,0.01319264,0.00195723,0.00000023,-0.00000048
12,0.00000000,-0.00000032,0.01678124,-0.00000173,0.01452214,0.00225909,0.00000025,-0.00000057
13,0.00000000,-0.00000034,0.01845780,-0.00000191,0.01588269,0.00257511,0.00000026,-0.00000060
14,0.00000000,-0.00000038,0.02017634,-0.00000211,0.01727018,0.00290616,0.00000027,-0.00000065
15,0.00000000,-0.00000042,0.02193670,-0.00000234,0.01868482,0.00325188,0.00000028,-0.00000070
16,0.00000000,-0.00000047,0.02373873,-0.00000260,0.02012674,0.00361199,0.00000029,-0.00000076
17,0.00000000,-0.00000053,0.02558231,-0.00000289,0.02159607,0.00398625,0.00000030,-0.00000083
18,0.00000000,-0.00000060,0.02746734,-0.00000322,0.02309287,0.00437446,0.00000031,-0.00000090
19,0.00000000,-0.00000067,0.02939372,-0.00000359,0.02461724,0.00477648,0.00000032,-0.00000099
20,0.00000000,-0.00000076,0.03136139,-0.00000399,0.02616923,0.00519216,0.00000033,-0.00000108
21,0.00000000,-0.00000085,0.03337029,-0.00000444,0.02774889,0.00562140,0.00000034,-0.00000118
22,0.00000000,-0.00000094,0.03542037,-0.00000494,0.02935625,0.00606412,0.00000034,-0.00000129
23,0.00000000,-0.00000105,0.03751159,-0.00000549,0.03099134,0.00652025,0.00000035,-0.00000140
24,0.00000000,-0.00000109,0.03964422,-0.00000576,0.03265915,0.00698507,0.00000034,-0.00000144
25,0.00000000,-0.00000114,0.04181759,-0.00000607,0.03435495,0.00746263,0.00000034,-0.00000148
26,0.00000000,-0.00000121,0.04403172,-0.00000643,0.03607877,0.00795295,0.00000033,-0.00000153
27,0.00000000,-0.00000128,0.04628667,-0.00000684,0.03783062,0.00845605,0.00000031,-0.00000159
28,0.00000000,-0.00000136,0.04858246,-0.00000729,0.03961050,0.00897196,0.00000030,-0.00000166
29,0.00000000,-0.00000145,0.05091913,-0.00000780,0.04141843,0.00950070,0.00000029,-0.00000173
30,0.00000000,-0.00000154,0.05329672,-0.00000836,0.04325439,0.01004233,0.00000027,-0.00000181
31,0.00000000,-0.00000164,0.05571528,-0.00000897,0.04511838,0.01059690,0.00000025,-0.00000189
32,0.00000000,-0.00000175,0.05817485,-0.00000964,0.04701041,0.01116445,0.00000023,-0.00000198
33,0.00000000,-0.00000186,0.06067549,-0.00001037,0.04893045,0.01174504,0.00000020,-0.00000207
34,0.00000000,-0.00000198,0.06321724,-0.00001115,0.05087849,0.01233875,0.00000018,-0.00000215
35,0.00000000,-0.00000210,0.06580016,-0.00001200,0.05285451,0.01294565,0.00000015,-0.00000224
36,0.00000000,-0.00000222,0.06842431,-0.00001291,0.05485850,0.01356581,0.00000011,-0.00000233
37,0.00000000,-0.00000226,0.07108559,-0.00001325,0.05689594,0.01418965,0.00000006,-0.00000233
38,0.00000000,-0.00000232,0.07378839,-0.00001367,0.05896144,0.01482695,0.00000001,-0.00000233
39,0.00000000,-0.00000238,0.07653265,-0.00001417,0.06105496,0.01547769,-0.00000004,-0.00000234
40,0.00000000,-0.00000245,0.07931836,-0.00001475,0.06317646,0.01614190,-0.00000010,-0.00000235
41,0.00000000,-0.00000252,0.08214553,-0.00001540,0.06532590,0.01681963,-0.00000016,-0.00000237
42,0.00000000,-0.00000260,0.08501415,-0.00001613,0.06750322,0.01751093,-0.00000022,-0.00000238
43,0.00000000,-0.00000268,0.08792424,-0.00001693,0.06970838,0.01821587,-0.00000029,-0.00000239
44,0.00000000,-0.00000276,0.09087580,-0.00001780,0.07194129,0.01893451,-0.00000036,-0.00000240
45,0.00000000,-0.00000284,0.09386884,-0.00001874,0.07420190,0.01966693,-0.00000044,-0.00000240
46,0.00000000,-0.00000291,0.09690334,-0.00001976,0.07649013,0.02041321,-0.00000052,-0.00000240
47,0.00000000,-0.00000299,0.09997929,-0.00002084,0.07880588,0.02117340,-0.00000061,-0.00000238
48,0.00000000,-0.00000306,0.10309666,-0.00002200,0.08114907,0.02194759,-0.00000070,-0.00000236
49,0.00000000,-0.00000313,0.10625542,-0.00002323,0.08351960,0.02273582,-0.00000080,-0.00000233
50,0.00000000,-0.00000319,0.10945551,-0.00002452,0.08591734,0.02353817,-0.00000090,-0.00000229
51,0.00000000,-0.00000324,0.11269686,-0.00002589,0.08834218,0.02435468,-0.00000102,-0.00000223
52,0.00000000,-0.00000327,0.11596773,-0.00002624,0.09080010,0.02516762,-0.00000112,-0.00000215
53,0.00000000,-0.00000330,0.11928127,-0.00002674,0.09328491,0.02599636,-0.00000124,-0.00000206
54,0.00000000,-0.00000332,0.12263689,-0.00002737,0.09579645,0.02684044,-0.00000135,-0.00000196
55,0.00000000,-0.00000333,0.12603410,-0.00002813,0.09833455,0.02769955,-0.00000148,-0.00000185
56,0.00000000,-0.00000333,0.12947250,-0.00002900,0.10089902,0.02857348,-0.00000160,-0.00000173
57,0.00000000,-0.00000332,0.13295173,-0.00002997,0.10348965,0.02946208,-0.00000173,-0.00000159
58,0.00000000,-0.00000330,0.13647147,-0.00003105,0.10610625,0.03036522,-0.00000186,-0.00000144
59,0.00000000,-0.00000327,0.14003138,-0.00003222,0.10874856,0.03128281,-0.00000200,-0.00000127
60,0.00000000,-0.00000323,0.14363113,-0.00003348,0.11141636,0.03221477,-0.00000214,-0.00000108
61,0.00000000,-0.00000316,0.14727037,-0.00003483,0.11410936,0.03316101,-0.00000229,-0.00000087
62,0.00000000,-0.00000309,0.15094875,-0.00003627,0.11682731,0.03412144,-0.00000244,-0.00000065
63,0.00000000,-0.00000300,0.15466587,-0.00003778,0.11956988,0.03509599,-0.00000260,-0.00000040
64,0.00000000,-0.00000288,0.15842132,-0.00003938,0.12233677,0.03608455,-0.00000276,-0.00000013
65,0.00000000,-0.00000275,0.16221467,-0.00004106,0.12512763,0.03708704,-0.00000292,0.00000017
66,0.00000000,-0.00000260,0.16604544,-0.00004281,0.12794211,0.03810333,-0.00000309,0.00000049
67,0.00000000,-0.00000243,0.16991313,-0.00004464,0.13077981,0.03913332,-0.00000326,0.00000083
68,0.00000000,-0.00000223,0.17381722,-0.00004655,0.13364034,0.04017688,-0.00000343,0.00000120
69,0.00000000,-0.00000201,0.17775712,-0.00004852,0.13652326,0.04123386,-0.00000361,0.00000159
70,0.00000000,-0.00000177,0.18173224,-0.00005057,0.13942813,0.04230411,-0.00000379,0.00000202
71,0.00000000,-0.00000150,0.18574192,-0.00005269,0.14235445,0.04338747,-0.00000397,0.00000247
72,0.00000000,-0.00000148,0.18975788,-0.00005297,0.14530862,0.04444926,-0.00000410,0.00000263
73,0.00000000,-0.00000137,0.19381248,-0.00005355,0.14828315,0.04552933,-0.00000424,0.00000287
74,0.00000000,-0.00000120,0.19790319,-0.00005438,0.15127745,0.04662573,-0.00000437,0.00000317
75,0.00000000,-0.00000097,0.20202807,-0.00005542,0.15429094,0.04773714,-0.00000449,0.00000353
76,0.00000000,-0.00000068,0.20618553,-0.00005664,0.15732296,0.04886257,-0.00000461,0.00000393
77,0.00000000,-0.00000035,0.21037415,-0.00005803,0.16037286,0.05000129,-0.00000473,0.00000438
78,0.00000000,0.00000003,0.21459263,-0.00005956,0.16343994,0.05115269,-0.00000484,0.00000487
79,0.00000000,0.00000046,0.21883973,-0.00006122,0.16652347,0.05231626,-0.00000494,0.00000540
80,0.00000000,0.00000093,0.22311422,-0.00006301,0.16962270,0.05349151,-0.00000504,0.00000597
81,0.00000000,0.00000144,0.22741486,-0.00006491,0.17273683,0.05467803,-0.00000513,0.00000657
82,0.00000000,0.00000201,0.23174043,-0.00006692,0.17586504,0.05587539,-0.00000521,0.00000721
83,0.00000000,0.00000261,0.23608964,-0.00006903,0.17900645,0.05708318,-0.00000527,0.00000789
84,0.00000000,0.00000327,0.24046119,-0.00007124,0.18216017,0.05830101,-0.00000533,0.00000860
85,0.00000000,0.00000398,0.24485373,-0.00007354,0.18532527,0.05952847,-0.00000537,0.00000935
86,0.00000000,0.00000473,0.24926589,-0.00007593,0.18850076,0.06076514,-0.00000540,0.00001013
87,0.00000000,0.00000554,0.25369624,-0.00007840,0.19168563,0.06201061,-0.00000540,0.00001094
88,0.00000000,0.00000640,0.25814330,-0.00008096,0.19487883,0.06326447,-0.00000539,0.00001179
89,0.00000000,0.00000731,0.26260554,-0.00008360,0.19807926,0.06452628,-0.00000536,0.00001268
90,0.00000000,0.00000828,0.26708140,-0.00008632,0.20128581,0.06579559,-0.00000531,0.00001359
91,0.00000000,0.00000931,0.27156925,-0.00008912,0.20449730,0.06707195,-0.00000523,0.00001454
92,0.00000000,0.00001040,0.27606742,-0.00009199,0.20771251,0.06835490,-0.00000512,0.00001553
93,0.00000000,0.00001156,0.28057417,-0.00009494,0.21093021,0.06964396,-0.00000499,0.00001654
94,0.00000000,0.00001277,0.28508774,-0.00009796,0.21414911,0.07093863,-0.00000482,0.00001760
95,0.00000000,0.00001406,0.28960628,-0.00010106,0.21736787,0.07223841,-0.00000462,0.00001868
96,0.00000000,0.00001541,0.29412792,-0.00010423,0.22058513,0.07354279,-0.00000438,0.00001980
97,0.00000000,0.00001684,0.29865073,-0.00010747,0.22379950,0.07485123,-0.00000411,0.00002095
98,0.00000000,0.00001834,0.30317271,-0.00011078,0.22700952,0.07616319,-0.00000379,0.00002213
99,0.00000000,0.00001992,0.30769185,-0.00011417,0.23021373,0.07747812,-0.00000342,0.00002334
100,0.00000000,0.00002158,0.31220605,-0.00011763,0.23341061,0.07879544,-0.00000301,0.00002459
101,0.00000000,0.00002332,0.31671320,-0.00012116,0.23659861,0.08011458,-0.00000255,0.00002586
102,0.00000000,0.00002514,0.32121110,-0.00012476,0.23977616,0.08143494,-0.00000203,0.00002717
103,0.00000000,0.00002577,0.32562687,-0.00012493,0.24294779,0.08267907,-0.00000134,0.00002711
104,0.00000000,0.00002683,0.33004670,-0.00012580,0.24610537,0.08394132,-0.00000059,0.00002742
105,0.00000000,0.00002819,0.33446185,-0.00012720,0.24924717,0.08521468,0.00000021,0.00002798
106,0.00000000,0.00002980,0.33886612,-0.00012900,0.25237143,0.08649470,0.00000107,0.00002873
107,0.00000000,0.00003161,0.34325475,-0.00013115,0.25547640,0.08777835,0.00000199,0.00002961
108,0.00000000,0.00003358,0.34762378,-0.00013358,0.25856032,0.08906345,0.00000298,0.00003061
109,0.00000000,0.00003571,0.35196973,-0.00013625,0.26162141,0.09034831,0.00000402,0.00003169
110,0.00000000,0.00003798,0.35628940,-0.00013913,0.26465787,0.09163153,0.00000514,0.00003284
111,0.00000000,0.00004039,0.36057980,-0.00014220,0.26766790,0.09291190,0.00000633,0.00003406
