step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0,3,1.0329999999999999,0,0.002154097857690876,0.0021103627208768384,0.00042813796617959855,0.53953794301003322,0.53954654017796289,7.7678592746436976
2,0,3,1.0660000000000001,0,0.043519796411795098,0.43264465462264295,0.18966768589572161,10.513246185920645,10.523943869419929,501.81895191926816
3,0,3,1.099,0,0.053359556267749117,0.43146021975022492,0.28679183516806289,13.32528678740991,13.335461097649086,866.61600612535028
4,0,3,1.1319999999999999,0,0.039763562195073675,0.46991194841285555,0.28871732421307605,9.8950818384529278,9.9105196969241387,550.17095419707277
5,0,3,1.165,0,0.026743148841050748,0.44846988619909878,0.2522691341317379,6.5608713126073308,6.5810722934387211,266.39611168056098
6,0,3,1.198,0,0.020465767832676691,0.37812197046423346,0.22941821172327639,5.0978234070672519,5.1170139024350725,169.92916410290658
7,0,3,1.2310000000000001,0,0.050988408134391414,0.27637280660700186,0.38662346556119875,12.699209389789573,12.708201232898309,734.12800327483433
8,0,3,1.264,0,0.037197150953038979,0.26830027298122361,0.35284230031399505,9.2447820360408333,9.2554773646373842,338.4002403512996
9,0,3,1.2969999999999999,0,0.030768271964163259,0.28928132284174085,0.33835922229920007,7.7192065923596553,7.7320933613833462,222.4376048682513
10,0,3,1.3300000000000001,0,0.030345809889693612,0.30892648143186202,0.33781789599695555,7.7656735863440352,7.7792135604831527,139.89874093392541
11,0,3,1.363,0,0.03376914436929334,0.32637746919553318,0.34091780188936249,8.646507399415162,8.6594444257871501,190.26676058504574
12,0,3,1.3959999999999999,0,0.038083839896947171,0.34372057191877031,0.34604918204770851,9.6546221472332459,9.6670095196324315,221.59492393046673
13,0,3,1.429,0,0.041000797904673869,0.35994343180149913,0.34729414233827005,10.192274950796223,10.204622591426716,190.63528303905696
14,0,3,1.462,0,0.044361156320567384,0.38793160591027942,0.36977762817726345,10.851200305331931,10.864517587255794,159.39547034278235
15,0,3,1.4950000000000001,0,0.047163178879544215,0.42569914850769602,0.402598590360084,11.405828740305555,11.420965765145361,172.83765371713628
16,0,3,1.5,0,0.050348743120565677,0.43326533250328741,0.42291589906023652,12.106265505855726,12.121500575433435,184.60188232214261
17,0,3,1.5,0,0.054237575831794775,0.45242860128646128,0.43515911812584523,13.02067793834019,13.035913883804279,273.88224747591829
18,0,3,1.5,0,0.055408926585718471,0.50225953652068678,0.46982543448581288,13.243451461358353,13.261413097382039,283.45670889609238
19,0,3,1.5,0,0.05919152619681841,0.50144263036423053,0.50411586544722653,14.174269421797989,14.19221599313628,347.64303854405711
20,0,3,1.5,0,0.075216341713451221,0.59297734949997494,0.52424347218665024,17.660964995999738,17.678851643790075,575.15476183194085
21,0,3,1.5,0,0.064134503731461567,0.58140261758977885,0.52875515372031057,15.53519398381545,15.555191299552401,300.70083158613926
22,0,3,1.5,0,0.065146788487789917,0.56449556063273543,0.56996373626253904,16.117267595525703,16.137350239381355,474.58651713526484
23,0,3,1.5,0,0.065321160353633861,0.53597965649747381,0.55789528246141062,16.100895689508494,16.119603909426402,316.23134210387252
24,0,3,1.5,0,0.064600556861736283,0.54305854931192987,0.56490671169888074,15.846421637819297,15.865915798856292,265.93832048346576
25,0,3,1.5,0,0.076146341037495596,0.59023862329592436,0.67262259172923844,17.902810575740375,17.925323638903418,824.57337506402985
26,0,3,1.5,0,0.065683430992847069,0.59251842841042213,0.59731254848890136,15.806213123146925,15.828725405920634,354.11620980087338
27,0,3,1.5,0,0.065618967023598165,0.58852105538823085,0.54817779964845759,15.88369959328478,15.904184183767835,248.79546018201589
28,0,3,1.5,0,0.076011427605096812,0.64619367190371657,0.56060535774952447,17.971186030742896,17.991696688123692,609.82281785815633
29,0,3,1.5,0,0.080889316927915775,0.65518055121186258,0.56809974714105993,19.086411724162737,19.106272647045468,530.64783429567672
