step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0,6,0.5,0,0.0137702,0.0137702,2.75155e-14,0.0606748,0.0606748,0.00517938
2,0,6,0.5159,0,0.0137153,0.013706,6.93253e-05,0.0574464,0.0574464,0.0048964
3,0,6,0.5318,0,0.0136592,0.0136416,0.000130354,0.0552482,0.0552482,0.00469899
4,0,6,0.5477,0,0.0136019,0.0135767,0.000185485,0.0537029,0.0537029,0.00455811
5,0,6,0.5636,0,0.0135436,0.0135111,0.000236332,0.0525757,0.0525757,0.00445442
6,0,7,0.5795,0,0.0134842,0.0134448,0.00028399,0.0517188,0.0517188,0.00437515
7,0,7,0.5954,0,0.0134231,0.013377,0.000329529,0.0510363,0.0510363,0.00431174
8,0,7,0.6113,0,0.0133612,0.0133084,0.000373198,0.0504713,0.0504713,0.00425898
9,0,7,0.6272,0,0.0132983,0.0132389,0.000415375,0.0499855,0.0499855,0.00421335
10,0,7,0.6431,0,0.0132347,0.0131687,0.000456337,0.0495542,0.0495542,0.00417258
11,0,7,0.659,0,0.0131702,0.0130977,0.000496292,0.0491614,0.0491614,0.00413518
12,0,7,0.6749,0,0.0131051,0.013026,0.0005354,0.0487965,0.0487965,0.00410018
13,0,7,0.6908,0,0.0130393,0.0129536,0.000573784,0.0484525,0.0484525,0.00406694
14,0,7,0.7067,0,0.0129729,0.0128806,0.000611544,0.0481244,0.0481244,0.004035
15,0,7,0.7226,0,0.0129059,0.0128069,0.000648759,0.0478088,0.0478088,0.00400407
16,0,7,0.7385,0,0.0128384,0.0127326,0.000685493,0.0475035,0.0475035,0.00397392
17,0,8,0.7544,0,0.0127704,0.0126578,0.000721801,0.0472064,0.0472064,0.0039444
18,0,8,0.7703,0,0.0127012,0.0125817,0.000758071,0.046914,0.046914,0.00391519
19,0,8,0.7862,0,0.0126317,0.0125051,0.000794029,0.0466276,0.0466276,0.0038864
20,0,8,0.8021,0,0.0125618,0.012428,0.000829704,0.0463462,0.0463462,0.00385795
21,0,8,0.818,0,0.0124916,0.0123504,0.00086512,0.0460692,0.0460692,0.00382977
22,0,8,0.8339,0,0.012421,0.0122725,0.000900296,0.045796,0.045796,0.00380184
23,0,8,0.8498,0,0.0123502,0.0121942,0.000935249,0.0455262,0.0455262,0.00377411
24,0,8,0.8657,0,0.0122792,0.0121155,0.000969995,0.0452593,0.0452593,0.00374656
25,0,8,0.8816,0,0.012208,0.0120365,0.00100455,0.0449952,0.0449952,0.00371915
26,0,8,0.8975,0,0.0121365,0.0119573,0.00103891,0.0447335,0.0447335,0.00369188
27,0,8,0.9134,0,0.012065,0.0118777,0.0010731,0.044474,0.044474,0.00366473
