step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.000000000000e+00,-2.314513488022e-04,3.176047801085e+02,-1.748461695001e-04,-1.972152263053e-31,3.176047801085e+02,0.000000000000e+00,-2.314513488022e-04
2,0.000000000000e+00,-1.340295913277e-04,2.563816731326e+02,-1.002275439301e-04,1.815447507013e-02,2.563635186575e+02,-1.030777787847e-07,-1.339265135489e-04
3,0.000000000000e+00,-7.588078458187e-05,2.109737829578e+02,-5.575033075278e-05,3.240976604087e-02,2.109413731917e+02,-1.288766573460e-07,-7.575190792453e-05
4,0.000000000000e+00,-4.205753265230e-05,1.769367148420e+02,-2.990635969802e-05,4.423562300272e-02,1.768924792190e+02,-3.409098839890e-07,-4.171662276831e-05
5,0.000000000000e+00,-2.210655830381e-05,1.511211271589e+02,-1.468070541133e-05,5.435558861749e-02,1.510667715703e+02,-2.370501289706e-07,-2.186950817484e-05
6,0.000000000000e+00,-1.002968762442e-05,1.312883727203e+02,-5.476709810992e-06,6.319334299334e-02,1.312251793773e+02,-1.514279104331e-07,-9.878259713991e-06
7,0.000000000000e+00,-1.112767285982e-06,1.158411498906e+02,1.302256202429e-06,7.103304879578e-02,1.157701168418e+02,2.469508317282e-07,-1.359718117711e-06
8,0.000000000000e+00,4.071518498433e-06,1.036341180730e+02,5.243953902223e-06,7.805963079678e-02,1.035560584422e+02,4.692791167882e-07,3.602239381645e-06
9,0.000000000000e+00,7.015559789103e-06,9.384346645957e+01,7.486267924683e-06,8.434810251061e-02,9.375911835706e+01,6.135412627395e-07,6.402018526364e-06
10,0.000000000000e+00,8.611794094393e-06,8.587287105732e+01,8.707823949461e-06,9.006632521500e-02,8.578280473211e+01,7.277955495488e-07,7.883998544844e-06
11,0.000000000000e+00,9.371622186449e-06,7.928774191773e+01,9.297648276618e-06,9.534023226837e-02,7.919240168546e+01,8.284293870342e-07,8.543192799415e-06
12,0.000000000000e+00,9.633384130403e-06,7.376924779902e+01,9.510799532375e-06,1.002464272768e-01,7.366900137174e+01,8.664411078607e-07,8.766943022542e-06
13,0.000000000000e+00,9.624659755764e-06,6.908172828465e+01,9.520898489157e-06,1.048481978021e-01,6.897688008685e+01,9.034686633269e-07,8.721191092437e-06
14,0.000000000000e+00,9.429200442501e-06,6.504956088502e+01,9.389630214685e-06,1.091968815997e-01,6.494036400342e+01,9.439756749052e-07,8.485224767596e-06
15,0.000000000000e+00,9.134480902478e-06,6.154068565144e+01,9.181467238939e-06,1.133309262829e-01,6.142735472515e+01,9.859518095845e-07,8.148529092894e-06
16,0.000000000000e+00,8.793176634325e-06,5.845486388304e+01,8.937311212431e-06,1.172771966024e-01,5.833758668643e+01,1.025335283067e-06,7.767841351258e-06
