step,inner_iterations,linear_residual_ratio,converged,min_dtau,max_dtau
1,3,1.213204012e-05,1,0,0
2,3,1.019013079e-05,1,1.409202464e-06,0.6102347531
3,3,1.290748281e-05,1,1.453615428e-06,0.6111722174
4,3,1.558156511e-05,1,1.464036654e-06,0.6121111219
5,3,1.808032427e-05,1,1.479608076e-06,0.6130514687
6,3,1.979452098e-05,1,1.500274296e-06,0.6139932602
7,3,2.085969275e-05,1,1.526337513e-06,0.6149364984
8,3,2.141402945e-05,1,1.556835668e-06,0.6158811857
9,3,2.151565607e-05,1,1.5897666e-06,0.6168273243
10,3,2.145963828e-05,1,1.622957324e-06,0.6177749164
11,3,2.131067956e-05,1,1.654076327e-06,0.6187239641
12,3,2.103461063e-05,1,1.680789735e-06,0.6196744699
13,3,2.109868044e-05,1,1.685077305e-06,0.6206264358
14,3,2.169595249e-05,1,1.676673498e-06,0.6215798642
15,3,2.240846291e-05,1,1.675071974e-06,0.6225347573
16,3,2.298860098e-05,1,1.680676836e-06,0.6234911173
17,3,2.352016526e-05,1,1.687821712e-06,0.6244489465
18,3,2.378010389e-05,1,1.698906807e-06,0.6254082471
19,3,2.390385243e-05,1,1.711374537e-06,0.6263690215
20,3,2.415702555e-05,1,1.722845231e-06,0.6273312719
21,3,2.473414658e-05,1,1.724571228e-06,0.6282950005
22,3,2.518001738e-05,1,1.723007423e-06,0.6292602096
23,3,2.554190323e-05,1,1.723164103e-06,0.6302269015
24,3,2.622956679e-05,1,1.724835088e-06,0.6311950784
25,3,2.663113957e-05,1,1.729275569e-06,0.6321647427
26,3,2.682827488e-05,1,1.734642118e-06,0.6331358967
27,3,2.721808671e-05,1,1.739504557e-06,0.6341085425
28,3,2.790575852e-05,1,1.741290705e-06,0.6350826826
29,3,2.823124602e-05,1,1.74335783e-06,0.6360583192
30,3,2.853991871e-05,1,1.746443073e-06,0.6370354546
31,3,2.920763864e-05,1,1.750190821e-06,0.6380140911
32,3,2.977497663e-05,1,1.754033599e-06,0.638994231
33,3,3.001497775e-05,1,1.757409933e-06,0.6399758766
34,3,3.043175712e-05,1,1.759978396e-06,0.6409590303
35,3,3.124301622e-05,1,1.762075692e-06,0.6419436943
36,3,3.167978324e-05,1,1.764526086e-06,0.6429298711
37,3,3.19930498e-05,1,1.767446276e-06,0.6439175628
38,3,3.265868943e-05,1,1.770613409e-06,0.6449067718
39,3,3.3490467e-05,1,1.773573487e-06,0.6458975005
40,3,3.384640941e-05,1,1.776218612e-06,0.6468897512
41,3,3.429112736e-05,1,1.779036328e-06,0.6478835262
42,3,3.521028177e-05,1,1.781959876e-06,0.6488788279
43,3,3.601065352e-05,1,1.784908514e-06,0.6498756586
44,3,3.63949521e-05,1,1.787818325e-06,0.6508740207
45,3,3.706677315e-05,1,1.790575287e-06,0.6518739165
46,3,3.820976352e-05,1,1.793399875e-06,0.6528753484
47,3,3.893409425e-05,1,1.796225397e-06,0.6538783187
48,3,3.940439598e-05,1,1.79899707e-06,0.6548828298
49,3,4.030972452e-05,1,1.801790029e-06,0.655888884
50,3,4.160469404e-05,1,1.804613743e-06,0.6568964839
51,3,4.227070071e-05,1,1.807469823e-06,0.6579056316
52,3,4.285968685e-05,1,1.810352925e-06,0.6589163296
53,3,4.401041029e-05,1,1.813252982e-06,0.6599285803
54,3,4.543914537e-05,1,1.816158947e-06,0.660942386
55,3,4.611042232e-05,1,1.819062404e-06,0.6619577492
56,3,4.686881357e-05,1,1.821959755e-06,0.6629746722
57,3,4.8320404e-05,1,1.824852526e-06,0.6639931574
58,3,5.008709393e-05,1,1.827746116e-06,0.6650132073
59,3,5.113314166e-05,1,1.830647791e-06,0.6660348242
60,3,5.242369091e-05,1,1.833564667e-06,0.6670580106
61,3,5.468443967e-05,1,1.836502203e-06,0.6680827688
62,3,5.769734499e-05,1,1.839463378e-06,0.6691091013
63,3,6.019198285e-05,1,1.842448486e-06,0.6701370105
64,3,6.305216711e-05,1,1.845455425e-06,0.6711664988
65,3,6.732349194e-05,1,1.848480437e-06,0.6721975686
66,3,7.317248313e-05,1,1.85151916e-06,0.6732302224
67,3,7.894543239e-05,1,1.854567781e-06,0.6742644626
68,3,8.455578977e-05,1,1.857623997e-06,0.6753002916
69,3,9.149156797e-05,1,1.860687501e-06,0.6763377119
70,3,0.0001001868959,1,1.863759923e-06,0.6773767259
71,3,0.0001091736776,1,1.866844318e-06,0.6784173361
72,3,0.000116079479,1,1.86994443e-06,0.6794595449
73,3,0.0001217347842,1,1.873063938e-06,0.6805033548
74,3,0.0001274112316,1,1.876205835e-06,0.6815487683
75,3,0.0001329569333,1,1.879372016e-06,0.6825957877
76,3,0.0001363339611,1,1.882563096e-06,0.6836444156
77,3,0.0001366038273,1,1.88577847e-06,0.6846946544
78,3,0.0001358562082,1,1.889016608e-06,0.6857465067
79,3,0.0001361482183,1,1.892275572e-06,0.6867999748
80,3,0.0001380537659,1,1.895553637e-06,0.6878550614
81,3,0.0001406934792,1,1.898849868e-06,0.6889117687
82,3,0.0001421944864,1,1.902164498e-06,0.6899700995
83,3,0.0001430467203,1,1.905499014e-06,0.6910300561
84,3,0.0001441080282,1,1.908855963e-06,0.692091641
85,3,0.0001439679125,1,1.912238539e-06,0.6931548568
86,3,0.0001425505764,1,1.91565004e-06,0.6942197059
87,3,0.000139391525,1,1.919072383e-06,0.6952861909
88,3,0.0001354851728,1,1.922508514e-06,0.6963543142
89,3,0.0001320594635,1,1.925961081e-06,0.6974240785
90,3,0.0001299053716,1,1.929430981e-06,0.6984954861
91,3,0.0001291875135,1,1.932920874e-06,0.6995685397
92,3,0.0001295308215,1,1.936434678e-06,0.7006432417
93,3,0.0001306650248,1,1.93997687e-06,0.7017195948
94,3,0.0001321270536,1,1.943551774e-06,0.7027976013
95,3,0.0001335209174,1,1.947162939e-06,0.703877264
96,3,0.0001346614595,1,1.950812628e-06,0.7049585853
97,3,0.0001348173155,1,1.95450163e-06,0.7060415677
98,3,0.0001337652706,1,1.958229085e-06,0.7071262138
99,3,0.0001319780775,1,1.961992903e-06,0.7082125262
100,3,0.0001298284358,1,1.965790327e-06,0.7093005075
101,3,0.0001276820893,1,1.969614747e-06,0.7103901601
102,3,0.0001265720564,1,1.973464691e-06,0.7114814867
103,3,0.0001269538572,1,1.977334179e-06,0.7125744899
104,3,0.0001280316442,1,1.981222575e-06,0.7136691721
105,3,0.0001291469096,1,1.985131642e-06,0.7147655361
106,3,0.0001301689434,1,1.989065346e-06,0.7158635843
107,3,0.0001308705709,1,1.993028664e-06,0.7169633194
108,3,0.0001309212317,1,1.996951395e-06,0.7180647439
109,3,0.0001304281189,1,2.000897289e-06,0.7191678605
110,3,0.0001294921953,1,2.004888034e-06,0.7202726717
111,3,0.0001281457627,1,2.008926465e-06,0.7213791801
112,3,0.0001269259125,1,2.013014942e-06,0.7224873885
113,3,0.0001269175726,1,2.017154972e-06,0.7235972993
114,3,0.0001274421299,1,2.021338166e-06,0.7247089151
115,3,0.0001280899275,1,2.025560738e-06,0.7258222387
116,3,0.0001289059538,1,2.029819794e-06,0.7269372726
117,3,0.0001297242844,1,2.034112975e-06,0.7280540195
118,3,0.0001303124312,1,2.038437653e-06,0.729172482
119,3,0.000130897749,1,2.042793803e-06,0.7302926626
120,3,0.0001314440563,1,2.047181893e-06,0.7314145642
121,3,0.0001318197686,1,2.051602565e-06,0.7325381892
122,3,0.0001318954266,1,2.056056168e-06,0.7336635404
123,3,0.0001315360849,1,2.060543265e-06,0.7347906204
124,3,0.0001316025194,1,2.065063269e-06,0.7359194319
125,3,0.000133244849,1,2.069614133e-06,0.7370499775
126,3,0.0001352485614,1,2.074195694e-06,0.7381822598
127,3,0.0001372569499,1,2.078808699e-06,0.7393162816
128,3,0.0001391778931,1,2.083453955e-06,0.7404520456
129,3,0.0001409086881,1,2.088134175e-06,0.7415895543
130,3,0.0001424138728,1,2.0928576e-06,0.7427288105
131,3,0.0001433719309,1,2.097616764e-06,0.7438698169
132,3,0.0001438566997,1,2.102398596e-06,0.7450125762
133,3,0.0001436333354,1,2.10719056e-06,0.746157091
134,3,0.0001430856589,1,2.111981865e-06,0.747303364
135,3,0.0001423011689,1,2.11676296e-06,0.748451398
136,3,0.000141708606,1,2.12149494e-06,0.7496011956
137,3,0.0001419500136,1,2.126122149e-06,0.7507527596
138,3,0.0001428384988,1,2.130716083e-06,0.7519060927
139,3,0.0001441275547,1,2.135268569e-06,0.7530611975
140,3,0.0001453194397,1,2.139772285e-06,0.7542180769
141,3,0.0001462167201,1,2.144095881e-06,0.7553767335
142,3,0.0001471775496,1,2.148308684e-06,0.7565371701
143,3,0.0001476689644,1,2.152461205e-06,0.7576993894
144,3,0.0001476940994,1,2.156580062e-06,0.7588633941
145,3,0.000147053477,1,2.160666364e-06,0.760029187
146,3,0.000145459606,1,2.164727362e-06,0.7611967708
147,3,0.0001431316897,1,2.168774303e-06,0.7623661484
148,3,0.0001404328529,1,2.172821856e-06,0.7635373223
149,3,0.0001380383777,1,2.176886837e-06,0.7647102955
150,3,0.000136411851,1,2.180985534e-06,0.7658850706
151,3,0.000135641313,1,2.185132185e-06,0.7670616505
152,3,0.0001360153676,1,2.189299392e-06,0.7682400378
153,3,0.0001376424269,1,2.193494663e-06,0.7694202355
154,3,0.0001399779723,1,2.19777694e-06,0.7706022462
155,3,0.00014278993,1,2.202152913e-06,0.7717860727
156,3,0.0001459608446,1,2.206617214e-06,0.7729717179
157,3,0.0001495724437,1,2.211154931e-06,0.7741591845
158,3,0.0001529292686,1,2.215755131e-06,0.7753484754
159,3,0.0001556778936,1,2.220410447e-06,0.7765395933
160,3,0.0001581290695,1,2.225109648e-06,0.777732541
161,3,0.0001602394913,1,2.229833308e-06,0.7789273213
162,3,0.0001619455232,1,2.234550824e-06,0.7801239372
163,3,0.0001636736922,1,2.23920239e-06,0.7813223913
164,3,0.0001650064053,1,2.2438395e-06,0.7825226865
165,3,0.0001662978529,1,2.248456946e-06,0.7837248257
166,3,0.0001676022703,1,2.253051872e-06,0.7849288116
167,3,0.000168971157,1,2.257557933e-06,0.7861346471
168,3,0.0001703100701,1,2.262025389e-06,0.7873423351
169,3,0.0001714037072,1,2.266464561e-06,0.7885518784
170,3,0.0001723423486,1,2.270892444e-06,0.7897632798
171,3,0.0001730298637,1,2.275328099e-06,0.7909765422
172,3,0.0001734551438,1,2.279788043e-06,0.7921916684
173,3,0.000173573446,1,2.284282979e-06,0.7934086614
174,3,0.0001731822056,1,2.288815633e-06,0.794627524
175,3,0.0001731038709,1,2.293387102e-06,0.795848259
176,3,0.0001733831388,1,2.29799244e-06,0.7970708694
177,3,0.000173989916,1,2.3026173e-06,0.798295358
178,3,0.0001748763562,1,2.307248227e-06,0.7995217277
179,3,0.0001765928389,1,2.311838558e-06,0.8007499814
180,3,0.0001788475039,1,2.316387658e-06,0.801980122
181,3,0.0001812569779,1,2.320907313e-06,0.8032121523
182,3,0.0001833986982,1,2.325392637e-06,0.8044460754
183,3,0.000185150479,1,2.329840153e-06,0.805681894
184,3,0.0001863764102,1,2.33424835e-06,0.8069196112
185,3,0.0001875634371,1,2.338616973e-06,0.8081592297
186,3,0.0001882109725,1,2.342946341e-06,0.8094007527
187,3,0.0001885670587,1,2.347236594e-06,0.8106441829
188,3,0.0001888201303,1,2.351485757e-06,0.8118895233
189,3,0.000188792984,1,2.355696762e-06,0.8131367768
190,3,0.0001883594521,1,2.35987014e-06,0.8143859464
191,3,0.0001876796656,1,2.364007893e-06,0.815637035
192,3,0.0001870546737,1,2.368112163e-06,0.8168900456
193,3,0.0001866336938,1,2.372184163e-06,0.8181449811
194,3,0.0001861178683,1,2.376223611e-06,0.8194018445
195,3,0.0001858577946,1,2.380227999e-06,0.8206606388
196,3,0.0001856750114,1,2.384194553e-06,0.8219213668
197,3,0.0001864627762,1,2.388121417e-06,0.8231840316
198,3,0.0001874790752,1,2.391999515e-06,0.8244486362
199,3,0.0001889728995,1,2.395572177e-06,0.8257151834
200,3,0.000191011414,1,2.399097251e-06,0.8269836764
201,3,0.0001931424867,1,2.402624085e-06,0.8282541182
202,3,0.0001952276586,1,2.406155672e-06,0.8295265116
203,3,0.0001977158516,1,2.409696712e-06,0.8308008597
204,3,0.0002006697028,1,2.41325328e-06,0.8320771655
205,3,0.0002036112328,1,2.416832458e-06,0.833355432
206,3,0.0002067761117,1,2.420441738e-06,0.8346356622
207,3,0.0002097934374,1,2.424088371e-06,0.8359178592
208,3,0.0002129445737,1,2.427778556e-06,0.8372020259
209,3,0.0002158288899,1,2.431357553e-06,0.8384881654
210,3,0.0002178672368,1,2.434908838e-06,0.8397762807
211,3,0.0002193391434,1,2.43840362e-06,0.8410663748
212,3,0.0002202677268,1,2.441850838e-06,0.8423584509
213,3,0.0002204073928,1,2.445340823e-06,0.8436525119
214,3,0.0002197112068,1,2.448882485e-06,0.8449485608
215,3,0.0002188310667,1,2.452484863e-06,0.8462466008
216,3,0.0002180572369,1,2.456156638e-06,0.8475466349
217,3,0.0002167722943,1,2.459905976e-06,0.8488486662
