step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2,0.000000000000e+00,9.765374425763e-09,6.810659357524e+00,-2.508166200774e-16,6.810659357524e+00,0.000000000000e+00,9.765374425763e-09,0.000000000000e+00
3,0.000000000000e+00,2.568173118611e-08,1.277562783719e+01,-4.127015569566e-16,1.277562783719e+01,0.000000000000e+00,2.568173118611e-08,0.000000000000e+00
4,0.000000000000e+00,6.339029778868e-08,1.787480380492e+01,-5.304188078342e-16,1.787480380492e+01,0.000000000000e+00,6.339029778868e-08,0.000000000000e+00
5,0.000000000000e+00,1.285323216194e-07,2.212755765104e+01,-6.417392658942e-16,2.212755765104e+01,0.000000000000e+00,1.285323216194e-07,0.000000000000e+00
6,0.000000000000e+00,2.109307685183e-07,2.559538045404e+01,-7.907086443937e-16,2.559538045404e+01,0.000000000000e+00,2.109307685183e-07,0.000000000000e+00
7,0.000000000000e+00,3.039860640985e-07,2.835769223689e+01,-8.794505922116e-16,2.835769223689e+01,0.000000000000e+00,3.039860640985e-07,0.000000000000e+00
8,0.000000000000e+00,4.128369592848e-07,3.049272220207e+01,-9.801729740355e-16,3.049272220207e+01,0.000000000000e+00,4.128369592848e-07,0.000000000000e+00
9,0.000000000000e+00,5.571194285348e-07,3.208015666871e+01,-1.023107380066e-15,3.208015666871e+01,0.000000000000e+00,5.571194285348e-07,0.000000000000e+00
10,0.000000000000e+00,7.183775732611e-07,3.322142313419e+01,-9.834797906616e-16,3.322142313419e+01,0.000000000000e+00,7.183775732611e-07,0.000000000000e+00
11,0.000000000000e+00,8.867763858222e-07,3.399245971088e+01,-1.045767205471e-15,3.399245971088e+01,0.000000000000e+00,8.867763858222e-07,0.000000000000e+00
12,0.000000000000e+00,1.051584210099e-06,3.445991231024e+01,-9.738303913265e-16,3.445991231024e+01,0.000000000000e+00,1.051584210099e-06,0.000000000000e+00
13,0.000000000000e+00,1.205109431135e-06,3.467747676610e+01,-1.063439700882e-15,3.467747676610e+01,0.000000000000e+00,1.205109431135e-06,0.000000000000e+00
14,0.000000000000e+00,1.360609798717e-06,3.469999375553e+01,-9.342028019221e-16,3.469999375553e+01,0.000000000000e+00,1.360609798717e-06,0.000000000000e+00
15,0.000000000000e+00,1.469979211965e-06,3.457284801203e+01,-9.411416958260e-16,3.457284801203e+01,0.000000000000e+00,1.469979211965e-06,0.000000000000e+00
16,0.000000000000e+00,1.576188951857e-06,3.432981164187e+01,-9.395153925673e-16,3.432981164187e+01,0.000000000000e+00,1.576188951857e-06,0.000000000000e+00
17,0.000000000000e+00,1.713142488036e-06,3.399197210050e+01,-9.138740111880e-16,3.399197210050e+01,0.000000000000e+00,1.713142488036e-06,0.000000000000e+00
18,0.000000000000e+00,1.836615498130e-06,3.357693987746e+01,-9.524716085285e-16,3.357693987746e+01,0.000000000000e+00,1.836615498130e-06,0.000000000000e+00
19,0.000000000000e+00,1.938847650207e-06,3.311405810893e+01,-8.982072897956e-16,3.311405810893e+01,0.000000000000e+00,1.938847650207e-06,0.000000000000e+00
20,0.000000000000e+00,2.040916741830e-06,3.263576050112e+01,-1.101549407245e-15,3.263576050112e+01,0.000000000000e+00,2.040916741830e-06,0.000000000000e+00
21,0.000000000000e+00,2.146808577741e-06,3.217053582162e+01,-1.077425908907e-15,3.217053582162e+01,0.000000000000e+00,2.146808577741e-06,0.000000000000e+00
22,0.000000000000e+00,2.154721100045e-06,3.173903572248e+01,-7.714640558321e-16,3.173903572248e+01,0.000000000000e+00,2.154721100045e-06,0.000000000000e+00
23,0.000000000000e+00,2.184278299178e-06,3.135618637029e+01,-1.018391100616e-15,3.135618637029e+01,0.000000000000e+00,2.184278299178e-06,0.000000000000e+00
24,0.000000000000e+00,2.200967594845e-06,3.103181788891e+01,-8.721322275473e-16,3.103181788891e+01,0.000000000000e+00,2.200967594845e-06,0.000000000000e+00
25,0.000000000000e+00,2.214842138970e-06,3.077125037939e+01,-1.057747639477e-15,3.077125037939e+01,0.000000000000e+00,2.214842138970e-06,0.000000000000e+00
26,0.000000000000e+00,2.223592889095e-06,3.057594185922e+01,-8.327214785775e-16,3.057594185922e+01,0.000000000000e+00,2.223592889095e-06,0.000000000000e+00
27,0.000000000000e+00,2.224983374932e-06,3.044360374800e+01,-9.165303065106e-16,3.044360374800e+01,0.000000000000e+00,2.224983374932e-06,0.000000000000e+00
28,0.000000000000e+00,2.225455134841e-06,3.037055636125e+01,-8.682833098350e-16,3.037055636125e+01,0.000000000000e+00,2.225455134841e-06,0.000000000000e+00
29,0.000000000000e+00,2.216820636336e-06,3.034888990171e+01,-6.804994935605e-16,3.034888990171e+01,0.000000000000e+00,2.216820636336e-06,0.000000000000e+00
30,0.000000000000e+00,2.219135445070e-06,3.036810401318e+01,-8.538634209410e-16,3.036810401318e+01,0.000000000000e+00,2.219135445070e-06,0.000000000000e+00
31,0.000000000000e+00,2.218086542549e-06,3.041669881417e+01,-9.389190813724e-16,3.041669881417e+01,0.000000000000e+00,2.218086542549e-06,0.000000000000e+00
32,0.000000000000e+00,2.234746277086e-06,3.048388553627e+01,-8.642717617968e-16,3.048388553627e+01,0.000000000000e+00,2.234746277086e-06,0.000000000000e+00
33,0.000000000000e+00,2.255118098426e-06,3.055976799518e+01,-8.538634209410e-16,3.055976799518e+01,0.000000000000e+00,2.255118098426e-06,0.000000000000e+00
34,0.000000000000e+00,2.287471121687e-06,3.063582602476e+01,-9.019477872907e-16,3.063582602476e+01,0.000000000000e+00,2.287471121687e-06,0.000000000000e+00
35,0.000000000000e+00,2.334650408164e-06,3.070510651143e+01,-9.544231724390e-16,3.070510651143e+01,0.000000000000e+00,2.334650408164e-06,0.000000000000e+00
36,0.000000000000e+00,2.394346543866e-06,3.076260725287e+01,-9.578384092823e-16,3.076260725287e+01,0.000000000000e+00,2.394346543866e-06,0.000000000000e+00
37,0.000000000000e+00,2.463709224465e-06,3.080492055652e+01,-1.000393344552e-15,3.080492055652e+01,0.000000000000e+00,2.463709224465e-06,0.000000000000e+00
38,0.000000000000e+00,2.541724988869e-06,3.082996564719e+01,-9.937797113002e-16,3.082996564719e+01,0.000000000000e+00,2.541724988869e-06,0.000000000000e+00
39,0.000000000000e+00,2.626555895835e-06,3.083769273435e+01,-8.603144238672e-16,3.083769273435e+01,0.000000000000e+00,2.626555895835e-06,0.000000000000e+00
40,0.000000000000e+00,2.717040789246e-06,3.082890085034e+01,-1.061976027950e-15,3.082890085034e+01,0.000000000000e+00,2.717040789246e-06,0.000000000000e+00
41,0.000000000000e+00,2.810950719301e-06,3.080557123942e+01,-1.047827189599e-15,3.080557123942e+01,0.000000000000e+00,2.810950719301e-06,0.000000000000e+00
42,0.000000000000e+00,2.905864872060e-06,3.077020402318e+01,-7.627904384522e-16,3.077020402318e+01,0.000000000000e+00,2.905864872060e-06,0.000000000000e+00
43,0.000000000000e+00,2.999341288668e-06,3.072557460204e+01,-8.724032780905e-16,3.072557460204e+01,0.000000000000e+00,2.999341288668e-06,0.000000000000e+00
44,0.000000000000e+00,3.090045970544e-06,3.067456167400e+01,-8.309325449929e-16,3.067456167400e+01,0.000000000000e+00,3.090045970544e-06,0.000000000000e+00
45,0.000000000000e+00,3.173116096267e-06,3.061984862748e+01,-1.018607941050e-15,3.061984862748e+01,0.000000000000e+00,3.173116096267e-06,0.000000000000e+00
46,0.000000000000e+00,3.251021843897e-06,3.056387606384e+01,-8.758727250424e-16,3.056387606384e+01,0.000000000000e+00,3.251021843897e-06,0.000000000000e+00
47,0.000000000000e+00,3.325139076749e-06,3.050857121513e+01,-9.782756202337e-16,3.050857121513e+01,0.000000000000e+00,3.325139076749e-06,0.000000000000e+00
48,0.000000000000e+00,3.394312520610e-06,3.045531584488e+01,-8.055622141567e-16,3.045531584488e+01,0.000000000000e+00,3.394312520610e-06,0.000000000000e+00
49,0.000000000000e+00,3.459790281213e-06,3.040511726442e+01,-1.051188216333e-15,3.040511726442e+01,0.000000000000e+00,3.459790281213e-06,0.000000000000e+00
50,0.000000000000e+00,3.523202467326e-06,3.035854152629e+01,-8.227468185906e-16,3.035854152629e+01,0.000000000000e+00,3.523202467326e-06,0.000000000000e+00
51,0.000000000000e+00,3.586705126790e-06,3.031564711702e+01,-9.821787480546e-16,3.031564711702e+01,0.000000000000e+00,3.586705126790e-06,0.000000000000e+00
52,0.000000000000e+00,3.652824476175e-06,3.027630269607e+01,-8.374377580278e-16,3.027630269607e+01,0.000000000000e+00,3.652824476175e-06,0.000000000000e+00
53,0.000000000000e+00,3.723480640427e-06,3.024010010206e+01,-8.501229234459e-16,3.024010010206e+01,0.000000000000e+00,3.723480640427e-06,0.000000000000e+00
