step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0,4,0.2,0,0.0137702,0.0137702,5.08656e-15,0.0154915,0.0154915,0.00132239
2,0,4,0.207114,0,0.0137602,0.0137596,4.99313e-06,0.0152319,0.0152319,0.00129982
3,0,4,0.214229,0,0.0137499,0.0137486,9.74592e-06,0.0150123,0.0150123,0.00128054
4,0,5,0.221343,0,0.0137393,0.0137374,1.4292e-05,0.0148264,0.0148264,0.0012641
5,0,5,0.228457,0,0.0137283,0.0137257,1.86913e-05,0.0146686,0.0146686,0.00125006
6,0,5,0.235571,0,0.0137168,0.0137137,2.29425e-05,0.0145344,0.0145344,0.00123806
7,0,5,0.242686,0,0.0137051,0.0137014,2.70684e-05,0.01442,0.01442,0.00122777
8,0,5,0.2498,0,0.013693,0.0136888,3.10882e-05,0.0143218,0.0143218,0.00121891
9,0,5,0.256914,0,0.0136806,0.0136758,3.50183e-05,0.014237,0.014237,0.00121123
10,0,5,0.264029,0,0.0136679,0.0136626,3.88724e-05,0.0141632,0.0141632,0.00120452
11,0,5,0.271143,0,0.0136549,0.013649,4.26623e-05,0.0140984,0.0140984,0.00119861
12,0,5,0.278257,0,0.0136416,0.0136352,4.63978e-05,0.014041,0.014041,0.00119335
13,0,5,0.285371,0,0.013628,0.013621,5.00869e-05,0.0139895,0.0139895,0.00118861
14,0,5,0.292486,0,0.0136141,0.0136065,5.37367e-05,0.0139429,0.0139429,0.0011843
15,0,5,0.2996,0,0.0135999,0.0135918,5.73528e-05,0.0139003,0.0139003,0.00118033
16,0,5,0.306714,0,0.0135854,0.0135767,6.094e-05,0.0138609,0.0138609,0.00117665
17,0,5,0.313829,0,0.0135706,0.0135614,6.45024e-05,0.0138241,0.0138241,0.00117319
18,0,5,0.320943,0,0.0135555,0.0135458,6.80435e-05,0.0137895,0.0137895,0.00116991
19,0,5,0.328057,0,0.0135402,0.0135298,7.15662e-05,0.0137566,0.0137566,0.00116679
20,0,5,0.335171,0,0.0135245,0.0135137,7.5073e-05,0.0137253,0.0137253,0.00116379
21,0,5,0.342286,0,0.0135087,0.0134972,7.8566e-05,0.0136951,0.0136951,0.00116089
22,0,5,0.3494,0,0.0134925,0.0134805,8.20471e-05,0.013666,0.013666,0.00115808
23,0,6,0.356514,0,0.0134761,0.0134635,8.55179e-05,0.0136377,0.0136377,0.00115533
24,0,6,0.363629,0,0.0134592,0.0134459,8.90151e-05,0.0136099,0.0136099,0.00115262
25,0,6,0.370743,0,0.013442,0.0134282,9.2508e-05,0.0135828,0.0135828,0.00114996
26,0,6,0.377857,0,0.0134246,0.0134101,9.59977e-05,0.0135561,0.0135561,0.00114734
27,0,6,0.384971,0,0.0134069,0.0133918,9.94851e-05,0.0135299,0.0135299,0.00114475
28,0,6,0.392086,0,0.013389,0.0133732,0.000102971,0.0135042,0.0135042,0.00114219
29,0,6,0.3992,0,0.0133708,0.0133544,0.000106456,0.0134787,0.0134787,0.00113965
30,0,6,0.406314,0,0.0133523,0.0133353,0.000109941,0.0134536,0.0134536,0.00113713
31,0,6,0.413429,0,0.0133337,0.013316,0.000113427,0.0134287,0.0134287,0.00113462
32,0,6,0.420543,0,0.0133147,0.0132964,0.000116913,0.013404,0.013404,0.00113213
33,0,6,0.427657,0,0.0132956,0.0132766,0.000120402,0.0133795,0.0133795,0.00112965
34,0,6,0.434771,0,0.0132762,0.0132565,0.000123892,0.0133552,0.0133552,0.00112717
35,0,6,0.441886,0,0.0132566,0.0132362,0.000127384,0.013331,0.013331,0.00112494
36,0,6,0.449,0,0.0132368,0.0132157,0.000130879,0.0133069,0.0133069,0.00112295
37,0,6,0.456114,0,0.0132168,0.0131949,0.000134378,0.013283,0.013283,0.00112094
38,0,6,0.463229,0,0.0131966,0.0131739,0.000137879,0.0132591,0.0132591,0.0011189
39,0,6,0.470343,0,0.0131761,0.0131527,0.000141385,0.0132353,0.0132353,0.00111684
40,0,6,0.477457,0,0.0131555,0.0131313,0.000144895,0.0132116,0.0132116,0.00111475
41,0,6,0.484571,0,0.0131346,0.0131097,0.000148409,0.013188,0.013188,0.00111264
42,0,6,0.491686,0,0.0131136,0.0130879,0.000151927,0.0131643,0.0131643,0.00111051
43,0,6,0.4988,0,0.0130924,0.0130658,0.00015545,0.0131407,0.0131407,0.00110836
44,0,7,0.505914,0,0.0130709,0.0130436,0.000158979,0.0131172,0.0131172,0.00110618
45,0,7,0.513029,0,0.0130491,0.0130209,0.000162563,0.0130933,0.0130933,0.00110397
46,0,7,0.520143,0,0.013027,0.0129979,0.000166155,0.0130695,0.0130695,0.00110173
47,0,7,0.527257,0,0.0130048,0.0129748,0.000169756,0.0130457,0.0130457,0.00109948
48,0,7,0.534371,0,0.0129824,0.0129515,0.000173365,0.0130219,0.0130219,0.0010972
49,0,7,0.541486,0,0.0129598,0.012928,0.000176983,0.0129981,0.0129981,0.0010949
50,0,7,0.5486,0,0.012937,0.0129043,0.00018061,0.0129743,0.0129743,0.00109258
51,0,7,0.555714,0,0.0129141,0.0128805,0.000184247,0.0129504,0.0129504,0.00109024
52,0,7,0.562829,0,0.012891,0.0128564,0.000187892,0.0129266,0.0129266,0.00108788
53,0,7,0.569943,0,0.0128677,0.0128322,0.000191548,0.0129027,0.0129027,0.0010855
54,0,7,0.577057,0,0.0128443,0.0128078,0.000195213,0.0128787,0.0128787,0.00108311
55,0,7,0.584171,0,0.0128208,0.0127832,0.000198889,0.0128548,0.0128548,0.00108069
56,0,7,0.591286,0,0.0127971,0.0127585,0.000202575,0.0128308,0.0128308,0.00107826
57,0,7,0.5984,0,0.0127732,0.0127336,0.000206271,0.0128068,0.0128068,0.00107581
58,0,7,0.605514,0,0.0127492,0.0127085,0.000209978,0.0127827,0.0127827,0.00107334
59,0,7,0.612629,0,0.0127251,0.0126833,0.000213697,0.0127587,0.0127587,0.00107086
60,0,7,0.619743,0,0.0127008,0.0126579,0.000217426,0.0127345,0.0127345,0.00106836
61,0,7,0.626857,0,0.0126764,0.0126324,0.000221167,0.0127104,0.0127104,0.00106584
62,0,7,0.633971,0,0.0126519,0.0126068,0.00022492,0.0126862,0.0126862,0.0010633
63,0,7,0.641086,0,0.0126273,0.0125809,0.000228685,0.012662,0.012662,0.00106075
64,0,7,0.6482,0,0.0126025,0.012555,0.000232462,0.0126377,0.0126377,0.00105819
65,0,7,0.655314,0,0.0125776,0.0125289,0.000236252,0.0126134,0.0126134,0.00105561
66,0,8,0.662429,0,0.0125526,0.0125027,0.000240055,0.0125891,0.0125891,0.00105302
67,0,8,0.669543,0,0.0125272,0.012476,0.000243943,0.0125644,0.0125644,0.00105039
68,0,8,0.676657,0,0.0125017,0.0124493,0.000247844,0.0125397,0.0125397,0.00104775
69,0,8,0.683771,0,0.0124761,0.0124223,0.00025176,0.012515,0.012515,0.0010451
70,0,8,0.690886,0,0.0124504,0.0123953,0.00025569,0.0124903,0.0124903,0.00104244
71,0,8,0.698,0,0.0124246,0.0123681,0.000259635,0.0124655,0.0124655,0.00103976
72,0,8,0.705114,0,0.0123987,0.0123409,0.000263595,0.0124406,0.0124406,0.00103706
73,0,8,0.712229,0,0.0123727,0.0123135,0.00026757,0.0124158,0.0124158,0.00103436
74,0,8,0.719343,0,0.0123466,0.0122859,0.000271562,0.0123908,0.0123908,0.00103164
75,0,8,0.726457,0,0.0123204,0.0122583,0.00027557,0.0123659,0.0123659,0.00102892
76,0,8,0.733571,0,0.0122941,0.0122305,0.000279594,0.0123409,0.0123409,0.00102618
77,0,8,0.740686,0,0.0122678,0.0122027,0.000283635,0.0123159,0.0123159,0.00102343
78,0,8,0.7478,0,0.0122413,0.0121747,0.000287694,0.0122909,0.0122909,0.00102067
79,0,8,0.754914,0,0.0122148,0.0121466,0.000291769,0.0122658,0.0122658,0.0010179
80,0,8,0.762029,0,0.0121882,0.0121185,0.000295863,0.0122407,0.0122407,0.00101512
81,0,8,0.769143,0,0.0121615,0.0120902,0.000299975,0.0122155,0.0122155,0.00101233
82,0,8,0.776257,0,0.0121348,0.0120618,0.000304105,0.0121903,0.0121903,0.00100953
83,0,8,0.783371,0,0.0121079,0.0120333,0.000308253,0.0121651,0.0121651,0.00100672
84,0,8,0.790486,0,0.012081,0.0120048,0.000312421,0.0121399,0.0121399,0.0010039
85,0,8,0.7976,0,0.0120541,0.0119761,0.000316607,0.0121146,0.0121146,0.00100108
86,0,8,0.804714,0,0.0120271,0.0119474,0.000320813,0.0120893,0.0120893,0.000998247
87,0,8,0.811829,0,0.012,0.0119185,0.000325039,0.012064,0.012064,0.000995407
88,0,8,0.818943,0,0.0119729,0.0118896,0.000329284,0.0120386,0.0120386,0.00099256
89,0,8,0.826057,0,0.0119457,0.0118606,0.00033355,0.0120132,0.0120132,0.000989706
90,0,9,0.833171,0,0.0119184,0.0118315,0.000337837,0.0119878,0.0119878,0.000986845
