step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0.000000000000e+00,3,1.000000000000e+00,3.387578149714e-07,8.094051672998e-01,3.296601313394e+00,4.323101455655e+00,9.033861011761e+01,9.050567054678e+01,2.230577558577e+07
2,0.000000000000e+00,3,1.002305238078e+00,3.449724372566e-07,6.477833540350e-01,1.779686118798e+00,2.572036830258e+00,7.268208787853e+01,7.275223830092e+01,1.801858035263e+07
3,0.000000000000e+00,3,1.004615790278e+00,3.501462578838e-07,5.235280840522e-01,1.526165179027e+00,2.151715589883e+00,5.889632616622e+01,5.895769990142e+01,1.400785581161e+07
4,0.000000000000e+00,3,1.006931668852e+00,3.544940059953e-07,4.337005193777e-01,1.497231642069e+00,2.031775193642e+00,4.879916499017e+01,4.886631163599e+01,1.037539120245e+07
5,0.000000000000e+00,3,1.009252886077e+00,3.592719957463e-07,3.694245007020e-01,1.481644362324e+00,1.937570764208e+00,4.152776880175e+01,4.160097963505e+01,7.238791755454e+06
6,0.000000000000e+00,3,1.011579454260e+00,3.638033631738e-07,3.249962855492e-01,1.434528113361e+00,1.822371293110e+00,3.649097676583e+01,3.656604867836e+01,5.785313700888e+06
7,0.000000000000e+00,3,1.013911385737e+00,3.671036679268e-07,2.969363769651e-01,1.345078995002e+00,1.676191192275e+00,3.331910696733e+01,3.338966778403e+01,4.746654631642e+06
8,0.000000000000e+00,3,1.016248692871e+00,3.683325308606e-07,2.790840848904e-01,1.236835847200e+00,1.520692010550e+00,3.133469928789e+01,3.139718991395e+01,4.720544208289e+06
9,0.000000000000e+00,3,1.018591388054e+00,3.695238154037e-07,2.644995845200e-01,1.124125401312e+00,1.374956318340e+00,2.973880341255e+01,2.979296143783e+01,4.473712491025e+06
10,0.000000000000e+00,3,1.020939483708e+00,3.704729671967e-07,2.509058341848e-01,1.020363222292e+00,1.249903364564e+00,2.825281795623e+01,2.829996600230e+01,3.557535720099e+06
11,0.000000000000e+00,3,1.023292992281e+00,3.712887603112e-07,2.352320517161e-01,9.404391950053e-01,1.150248556617e+00,2.651357387954e+01,2.655621267435e+01,3.269721651865e+06
12,0.000000000000e+00,3,1.025651926251e+00,3.721025884826e-07,2.176372693698e-01,8.812557999555e-01,1.073415005119e+00,2.453126102046e+01,2.457150717382e+01,2.824117335477e+06
13,0.000000000000e+00,3,1.028016298126e+00,3.729387748088e-07,1.994142653439e-01,8.338939539971e-01,1.004429397599e+00,2.246683817918e+01,2.250561799552e+01,2.446226450526e+06
14,0.000000000000e+00,3,1.030386120442e+00,3.737872682161e-07,1.827873291333e-01,7.852919762607e-01,9.365288880907e-01,2.057808401987e+01,2.061515760266e+01,2.261275933467e+06
15,0.000000000000e+00,3,1.032761405761e+00,3.746450183570e-07,1.694871254476e-01,7.343590363747e-01,8.666767521771e-01,1.907833475672e+01,1.911287510455e+01,1.843951054089e+06
16,0.000000000000e+00,3,1.035142166679e+00,3.755111994004e-07,1.582096112240e-01,6.796717349409e-01,7.990025375587e-01,1.781327910295e+01,1.784483962951e+01,1.718838368616e+06
17,0.000000000000e+00,3,1.037528415818e+00,3.763842615613e-07,1.478152205274e-01,6.303712203767e-01,7.383905593630e-01,1.664612485247e+01,1.667506852870e+01,1.477913546617e+06
18,0.000000000000e+00,3,1.039920165829e+00,3.772630118427e-07,1.378552106625e-01,5.869760509682e-01,6.848708915008e-01,1.552689002594e+01,1.555367824532e+01,1.298695607328e+06
19,0.000000000000e+00,3,1.042317429393e+00,3.781464341810e-07,1.280792334804e-01,5.492694998326e-01,6.377292266698e-01,1.442362820725e+01,1.444873179560e+01,1.170846467246e+06
20,0.000000000000e+00,3,1.044720219221e+00,3.790333759889e-07,1.191375941908e-01,5.152211924476e-01,5.940808896656e-01,1.341515280293e+01,1.343870914459e+01,9.690259950132e+05
21,0.000000000000e+00,3,1.047128548051e+00,3.799229929021e-07,1.109428574042e-01,4.824062794640e-01,5.533099541257e-01,1.249110323438e+01,1.251314652888e+01,9.077592219233e+05
22,0.000000000000e+00,3,1.049542428652e+00,3.808147705790e-07,1.035846886526e-01,4.519394210317e-01,5.152595756467e-01,1.166224829365e+01,1.168282956827e+01,7.627437802899e+05
23,0.000000000000e+00,3,1.051961873823e+00,3.817084715655e-07,9.684850429967e-02,4.227023399279e-01,4.799390209420e-01,1.090433278347e+01,1.092350089566e+01,6.983819414444e+05
24,0.000000000000e+00,3,1.054386896391e+00,3.826039799018e-07,9.058785910636e-02,3.965229898351e-01,4.478590809379e-01,1.019917141225e+01,1.021709899603e+01,6.121764294416e+05
25,0.000000000000e+00,3,1.056817509214e+00,3.834923422602e-07,8.477069899642e-02,3.721448151947e-01,4.182231191552e-01,9.544006013632e+00,9.560786536709e+00,5.327537594490e+05
26,0.000000000000e+00,3,1.059253725177e+00,3.843813648784e-07,7.936715732814e-02,3.498074219968e-01,3.911656982057e-01,8.934939218367e+00,8.950687896330e+00,4.844773519882e+05
27,0.000000000000e+00,3,1.061695557199e+00,3.852738663569e-07,7.438580576119e-02,3.291934767111e-01,3.660703103733e-01,8.373562564482e+00,8.388352584783e+00,4.041656797620e+05
28,0.000000000000e+00,3,1.064143018224e+00,3.861695724565e-07,6.980028328772e-02,3.097485632396e-01,3.429207036133e-01,7.856775526126e+00,7.870662775705e+00,3.880349777282e+05
29,0.000000000000e+00,3,1.066596121230e+00,3.870682632173e-07,6.556712336575e-02,2.920373201143e-01,3.215631784237e-01,7.379620254287e+00,7.392684412256e+00,4.125923574515e+05
30,0.000000000000e+00,3,1.069054879223e+00,3.879697682638e-07,6.165695332553e-02,2.753047095188e-01,3.018028473835e-01,6.938897574939e+00,6.951185422441e+00,4.384740974210e+05
31,0.000000000000e+00,3,1.071519305238e+00,3.888739582601e-07,5.804516690739e-02,2.600548421449e-01,2.836636022641e-01,6.531632232008e+00,6.543216519097e+00,4.656543055282e+05
32,0.000000000000e+00,3,1.073989412341e+00,3.897807365949e-07,5.470227314286e-02,2.457963054047e-01,2.668688825526e-01,6.154663700296e+00,6.165591003841e+00,4.940801180109e+05
33,0.000000000000e+00,3,1.076465213630e+00,3.906900366362e-07,5.163368218491e-02,2.326204811472e-01,2.514332528252e-01,5.808550445576e+00,5.818870619357e+00,5.236629430556e+05
