step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
0,0,1.33078807e-11,15.69524196,-8.136602503e-12,0,15.69524196,0,1.330791033e-11
1,0.01,6.335116932e-06,31.14736168,-4.436543257e-06,28.58236807,2.564993605,3.799411874e-06,2.535705059e-06
2,0.02,1.095228108e-05,27.20547843,-4.184815303e-06,25.88258137,1.322897062,8.409068504e-06,2.543212576e-06
3,0.03,2.253489876e-05,24.25933435,-2.639445421e-06,22.92628697,1.333047382,2.085042936e-05,1.684469407e-06
4,0.04,3.384638538e-05,21.47298251,-1.602730054e-06,20.14669372,1.326288788,3.258312877e-05,1.263256611e-06
5,0.05,2.505870491e-05,18.8011706,-1.069585603e-06,17.50570665,1.295463943,2.40673973e-05,9.913076108e-07
6,0.06,-2.519183098e-05,16.30620763,-8.523255569e-07,15.04999437,1.256213265,-2.542528802e-05,2.334570359e-07
7,0.07,-0.0001121837749,14.01192565,-8.046937269e-07,12.79942787,1.212497773,-0.0001108721493,-1.311625585e-06
8,0.08,-0.0001894666127,11.92828984,-7.935380468e-07,10.76227601,1.166013834,-0.0001862512153,-3.215397385e-06
9,0.09,-0.0001943337464,10.05665294,-7.133946627e-07,8.938691121,1.117961815,-0.0001898700996,-4.463646812e-06
10,0.1,-0.0001024738194,8.391769657,-5.393218191e-07,7.322449845,1.069319811,-9.828414426e-05,-4.189675132e-06
11,0.11,4.385970285e-05,6.924097809,-3.240676145e-07,5.90320118,1.020896629,4.62443864e-05,-2.384683551e-06
12,0.12,0.0001685934187,5.64180181,-1.493808653e-07,4.668449379,0.9733524306,0.0001684818498,1.11568851e-07
13,0.13,0.0002157191765,4.53197233,-6.60333882e-08,3.604756688,0.9272156421,0.0002135221817,2.196994789e-06
14,0.14,0.0001612129149,3.581383987,-9.173687471e-08,2.698483913,0.8829000741,0.0001582839045,2.929010354e-06
15,0.15,-1.14177476e-05,2.776830858,-2.356197712e-07,1.936109267,0.8407215911,-1.288749333e-05,1.469745727e-06
16,0.16,-0.0003073608399,2.105086955,-4.913216242e-07,1.304177994,0.8009089609,-0.000304499379,-2.861460887e-06
17,0.17,-0.0006681395004,1.552829541,-8.035897844e-07,0.7892184156,0.7636111257,-0.0006582350033,-9.904497153e-06
18,0.18,-0.000937919158,1.106608584,-1.058969432e-06,0.377705409,0.7289031748,-0.0009200945019,-1.782465614e-05
19,0.19,-0.0009227695129,0.7530010957,-1.131173893e-06,0.0562069161,0.6967941796,-0.0008995181278,-2.325138505e-05
20,0.2,-0.0005241388299,0.4790729947,-9.530347026e-07,-0.1881667038,0.6672396985,-0.0005012839619,-2.2854868e-05
21,0.21,0.0001576652787,0.2728835587,-5.679901827e-07,-0.3672431774,0.640126736,0.0001731659973,-1.550071856e-05
22,0.22,0.0008441094227,0.1238738581,-1.127461253e-07,-0.491460602,0.61533446,0.0008474582539,-3.348831176e-06
23,0.23,0.001221451709,0.02305648391,2.553376388e-07,-0.5696854536,0.5927419375,0.001212610524,8.841184971e-06
24,0.24,0.001115209484,-0.03713185547,4.334317681e-07,-0.6093546407,0.5722227852,0.001099156644,1.605284007e-05
25,0.25,0.0005862283684,-0.06315626945,4.07739511e-07,-0.6168042801,0.5536480107,0.0005706726039,1.555576445e-05
26,0.26,-0.0001082619409,-0.06075064718,1.749441978e-07,-0.5975976719,0.5368470247,-0.0001164432204,8.181279518e-06
27,0.27,-0.0006565691164,-0.03523538365,-6.78062973e-08,-0.5569546799,0.5217192962,-0.0006542344923,-2.334624125e-06
