step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
0,0,0,30,0.01,0.07987415943,0.08951417197,0.02120985393,0.2000872778,0.117129677,1253.819869
1,0.01,51,30,0.01,2.301879025e-05,8.737143343e-07,3.981554295e-07,2.33998982e-06,1.157866747e-05,0.2161922354
2,0.02,72,30,0.01,3.072779754e-06,1.013127279e-07,5.746915945e-08,3.659991646e-07,1.548345712e-06,0.02538050135
3,0.03,53,30,0.01,2.373810545e-06,6.879406806e-08,6.533353477e-08,2.807793787e-07,1.196120255e-06,0.01731460284
4,0.04,50,30,0.01,2.099712517e-06,4.453854976e-08,6.943286347e-08,2.502025928e-07,1.058087732e-06,0.01526177383
5,0.05,51,30,0.01,1.939199293e-06,3.640410313e-08,6.492334924e-08,2.32061704e-07,9.772265387e-07,0.01429093715
6,0.06,50,30,0.01,1.956611491e-06,3.622814324e-08,6.659601225e-08,2.340355114e-07,9.860081965e-07,0.01452505834
7,0.07,50,30,0.01,1.84283984e-06,3.398752079e-08,6.343124947e-08,2.203177742e-07,9.286788022e-07,0.01376318144
8,0.08,49,30,0.01,1.810588067e-06,3.492551149e-08,6.312319975e-08,2.157933316e-07,9.124144122e-07,0.01359285531
9,0.09,48,30,0.01,1.760798055e-06,3.640643918e-08,6.227287049e-08,2.089626539e-07,8.873103347e-07,0.01328604639
10,0.1,46,30,0.01,1.790680368e-06,4.366622429e-08,6.536748977e-08,2.105642464e-07,9.023653821e-07,0.01359891787
11,0.11,45,30,0.01,1.71337146e-06,4.743269835e-08,6.42597055e-08,2.001072902e-07,8.634326638e-07,0.0130989939
12,0.12,43,30,0.01,1.717056537e-06,6.08088816e-08,6.885912622e-08,1.983163783e-07,8.654553478e-07,0.01319657202
13,0.13,41,30,0.01,1.709705957e-06,8.008581481e-08,7.583609321e-08,1.950580554e-07,8.62163986e-07,0.01323498819
14,0.14,39,30,0.01,1.692170657e-06,1.072527759e-07,8.635562543e-08,1.89023765e-07,8.541270349e-07,0.01316736837
15,0.15,37,30,0.01,1.664048372e-06,1.448283569e-07,1.017540924e-07,1.795113733e-07,8.415180428e-07,0.01299171302
16,0.16,35,30,0.01,1.625024643e-06,1.959021845e-07,1.236803295e-07,1.696072176e-07,8.250979017e-07,0.01272323206
17,0.17,33,30,0.01,1.575215675e-06,2.6453813e-07,1.543681305e-07,1.650897804e-07,8.065929889e-07,0.0123122866
18,0.18,31,30,0.01,1.515551783e-06,3.562781078e-07,1.970131803e-07,1.714405338e-07,7.893094048e-07,0.01176766484
19,0.19,29,30,0.01,1.448550566e-06,4.783251568e-07,2.562769186e-07,2.033299612e-07,7.800824684e-07,0.01112038698
20,0.2,27,30,0.01,1.377725109e-06,6.394358329e-07,3.385292058e-07,2.793130452e-07,7.905097188e-07,0.01040392294
21,0.21,26,30,0.01,1.243047274e-06,7.037701104e-07,3.735382903e-07,3.103933683e-07,7.543761977e-07,0.009226625054
22,0.22,25,30,0.01,1.114354677e-06,7.719074594e-07,4.153464198e-07,3.368550587e-07,7.28630814e-07,0.00815222179
23,0.23,24,30,0.01,9.921792813e-07,8.441379333e-07,4.645831431e-07,3.580514879e-07,7.14322571e-07,0.00714144725
24,0.24,23,30,0.01,8.819666757e-07,9.21066631e-07,5.212434964e-07,3.837562768e-07,7.150511552e-07,0.006176551141
25,0.25,22,30,0.01,7.945270568e-07,1.003759115e-06,5.842712402e-07,4.276524264e-07,7.353681195e-07,0.005466113692
26,0.26,22,30,0.01,7.095476099e-07,9.002084725e-07,5.37006751e-07,4.26597547e-07,6.678687787e-07,0.004868307925
27,0.27,21,30,0.01,6.940561587e-07,9.801005226e-07,5.942846245e-07,5.161918221e-07,7.179727011e-07,0.004994293572
28,0.28,21,30,0.01,6.654157299e-07,8.785742455e-07,5.364668399e-07,5.228319391e-07,6.662996145e-07,0.005127293831
29,0.29,21,30,0.01,6.519745598e-07,7.882403062e-07,4.815949042e-07,5.231015408e-07,6.228889308e-07,0.005193307448
30,0.3,20,30,0.01,7.200390547e-07,8.580856675e-07,5.281501441e-07,6.493867444e-07,6.99180408e-07,0.005818493885
31,0.31,20,30,0.01,7.242263434e-07,7.70203599e-07,4.772399151e-07,6.420730324e-07,6.628976346e-07,0.005793267646
32,0.32,20,30,0.01,7.282206172e-07,6.925889161e-07,4.350558527e-07,6.259218397e-07,6.306814605e-07,0.005715985599
33,0.33,20,30,0.01,7.296850247e-07,6.239746094e-07,3.996748497e-07,6.024981413e-07,6.009427061e-07,0.005591198235
34,0.34,20,30,0.01,7.281253352e-07,5.639183661e-07,3.68802316e-07,5.73759857e-07,5.730152592e-07,0.005441704182
35,0.35,19,30,0.01,8.007019678e-07,6.203508939e-07,4.185866845e-07,6.543580158e-07,6.382315603e-07,0.005855392709
36,0.36,19,30,0.01,7.939974677e-07,5.670814617e-07,3.864204056e-07,6.169699834e-07,6.086842476e-07,0.005672559519
37,0.37,19,30,0.01,7.866339015e-07,5.225414095e-07,3.567278404e-07,5.810409911e-07,5.823885741e-07,0.005498197368
38,0.38,19,30,0.01,7.785497714e-07,4.848421508e-07,3.297048799e-07,5.483506958e-07,5.59152361e-07,0.005323929483
