step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,1.000000000000e-02,2.576946792032e-05,3.095145930091e+01,9.784944095870e-06,2.834092270847e+01,2.610536592437e+00,2.001319215394e-05,5.756275766371e-06
2,2.000000000000e-02,-3.017731135293e-05,2.732816650814e+01,7.806192385440e-06,2.594751126699e+01,1.380655241148e+00,-3.700562416081e-05,6.828312807884e-06
3,3.000000000000e-02,-3.424939678803e-05,2.426102349705e+01,4.806409310554e-06,2.289643577564e+01,1.364587721411e+00,-4.012526754904e-05,5.875870761014e-06
4,4.000000000000e-02,-2.551521741912e-05,2.144949355725e+01,3.288592036521e-06,2.011041702403e+01,1.339076533226e+00,-3.041262513959e-05,4.897407720465e-06
5,5.000000000000e-02,-4.064417964937e-05,1.878099349628e+01,2.532275514555e-06,1.748220462723e+01,1.298788869051e+00,-4.461783062137e-05,3.973650972003e-06
6,6.000000000000e-02,-8.149503312949e-05,1.629360082042e+01,2.096410778585e-06,1.503808115266e+01,1.255519667763e+00,-8.431289417277e-05,2.817861043277e-06
7,7.000000000000e-02,-1.173892389790e-04,1.400692948377e+01,1.840624111626e-06,1.279639133833e+01,1.210538145440e+00,-1.189644868274e-04,1.575247848385e-06
8,8.000000000000e-02,-1.222370270506e-04,1.192770689396e+01,1.715750510334e-06,1.076355087408e+01,1.164156019875e+00,-1.228080411726e-04,5.710141219835e-07
9,9.000000000000e-02,-7.967800776809e-05,1.005776640320e+01,1.704160761506e-06,8.940939517443e+00,1.116826885757e+00,-7.987809583088e-05,2.000880627833e-07
10,1.000000000000e-01,1.910308434671e-05,8.396265767001e+00,1.795372460867e-06,7.326989028243e+00,1.069276738758e+00,1.814219223584e-05,9.608921108725e-07
11,1.100000000000e-01,1.354253258288e-04,6.935751276955e+00,1.916644069511e-06,5.913513395131e+00,1.022237881825e+00,1.326237533015e-04,2.801572527335e-06
12,1.200000000000e-01,1.867164395636e-04,5.661382991879e+00,1.946114421059e-06,4.685261412078e+00,9.761215798011e-01,1.820250759437e-04,4.691363619906e-06
13,1.300000000000e-01,1.267707668981e-04,4.556672630537e+00,1.849363435003e-06,3.625232620533e+00,9.314400100040e-01,1.214038745461e-04,5.366892352081e-06
14,1.400000000000e-01,2.126129740578e-06,3.608510470449e+00,1.696151902431e-06,2.719878454438e+00,8.886320160108e-01,-2.301197513210e-06,4.427327253788e-06
15,1.500000000000e-01,-1.121200600250e-04,2.806354939596e+00,1.584321677101e-06,1.958397805615e+00,8.479571339808e-01,-1.145345638827e-04,2.414503857712e-06
16,1.600000000000e-01,-2.048986819952e-04,2.137740159436e+00,1.531523923404e-06,1.328135346997e+00,8.096048124383e-01,-2.047271519374e-04,-1.715300577410e-07
17,1.700000000000e-01,-3.112628847592e-04,1.587919356472e+00,1.475830317677e-06,8.142354468711e-01,7.736839096009e-01,-3.079587141499e-04,-3.304170609258e-06
18,1.800000000000e-01,-4.107017514459e-04,1.142007375533e+00,1.367587448814e-06,4.017789248302e-01,7.402284507033e-01,-4.040026364547e-04,-6.699114991224e-06
19,1.900000000000e-01,-4.040234550210e-04,7.855089432623e-01,1.242468838258e-06,7.629864182819e-02,7.092103014341e-01,-3.949114191901e-04,-9.112035830872e-06
20,2.000000000000e-01,-2.085440092486e-04,5.055257132204e-01,1.183017391465e-06,-1.750319795686e-01,6.805576927889e-01,-1.996690907702e-04,-8.874918478383e-06
21,2.100000000000e-01,1.311537485762e-04,2.914865013877e-01,1.227332867226e-06,-3.626941249466e-01,6.541806263342e-01,1.365073664112e-04,-5.353617835088e-06
22,2.200000000000e-01,4.287518368285e-04,1.349590624046e-01,1.322172805157e-06,-4.950267866343e-01,6.299858490390e-01,4.287048689731e-04,4.696785545211e-08
23,2.300000000000e-01,4.673921966668e-04,2.904231541374e-02,1.338161516096e-06,-5.788401415336e-01,6.078824569474e-01,4.630994772576e-04,4.292719409119e-06
24,2.400000000000e-01,1.488997603094e-04,-3.259297642538e-02,1.153260259429e-06,-6.202655112305e-01,5.876725348051e-01,1.445373583735e-04,4.362401935895e-06
25,2.500000000000e-01,-4.250402865150e-04,-5.672411834561e-02,7.471709844165e-07,-6.258994536844e-01,5.691753353387e-01,-4.240386719707e-04,-1.001614544333e-06
26,2.600000000000e-01,-9.913952630914e-04,-5.085883097995e-02,2.268698422181e-07,-6.031762193468e-01,5.523173883669e-01,-9.810713687599e-04,-1.032389433146e-05
27,2.700000000000e-01,-1.269011653476e-03,-2.222691763948e-02,-2.386353898098e-07,-5.592311089286e-01,5.370041912891e-01,-1.249022091143e-03,-1.998956233264e-05
28,2.800000000000e-01,-1.118655053022e-03,2.254962934426e-02,-5.126625005070e-07,-5.005677154312e-01,5.231173447754e-01,-1.092556150015e-03,-2.609890300720e-05
29,2.900000000000e-01,-6.058239034256e-04,7.855197106774e-02,-5.529002805871e-07,-4.319049866763e-01,5.104569577440e-01,-5.794847799938e-04,-2.633912343181e-05
30,3.000000000000e-01,4.417567640037e-05,1.425222325337e-01,-4.036519009876e-07,-3.564012523912e-01,4.989234849249e-01,6.511772583684e-05,-2.094204943646e-05
30,3.000000000000e-01,4.417567640037e-05,1.425222325337e-01,-4.036519009876e-07,-3.564012523912e-01,4.989234849249e-01,6.511772583684e-05,-2.094204943646e-05
